N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
84,롯데지주,"38,250",150,-0.39%,200,"40,128","104,909",8.47,"66,726",-93.98,-3.03,
85,삼성증권,"44,600",300,-0.67%,"5,000","39,828","89,300",28.29,"110,431",5.10,9.89,
86,한미약품,"327,500","1,000",+0.31%,"2,500","39,556","12,078",12.76,"28,059",168.55,1.65,
87,현대차2우B,"106,000","1,000",-0.93%,"5,000","38,675","36,485",61.10,"47,492",12.83,N/A,
88,효성티앤씨,"872,000","2,000",+0.23%,"5,000","37,737","4,328",21.97,"15,988",14.72,25.10,
89,일진머티리얼즈,"81,300","2,700",+3.44%,500,"37,488","46,111",9.96,"316,687",93.23,7.23,
90,GS건설,"43,650",400,-0.91%,"5,000","37,356","85,581",25.96,"232,554",10.50,7.68,
91,호텔신라,"94,100",0,0.00%,"5,000","36,932","39,248",18.66,"150,276",-17.81,-36.74,
92,녹십자,"312,500","13,000",+4.34%,"5,000","36,520","11,687",20.85,"96,603",36.47,7.48,
93,NH투자증권,"12,900",50,-0.39%,"5,000","36,302","281,409",17.89,"291,739",4.83,10.32,
94,GS리테일,"34,200","1,100",-3.12%,"1,000","35,814","104,718",12.50,"984,120",17.57,7.50,
95,현대오토에버,"129,500","1,000",-0.77%,500,"35,514","27,424",1.36,"42,449",46.15,11.09,
96,메리츠증권,"5,160",140,+2.79%,"1,000","35,177","681,731",13.93,"1,977,057",5.70,13.08,
97,대우조선해양,"32,350",100,-0.31%,"5,000","34,709","107,291",7.18,"139,076",-8.88,2.27,
98,휠라홀딩스,"56,900","1,300",+2.34%,"1,000","34,568","60,752",46.75,"513,031",18.16,10.94,
99,신풍제약,"65,100",700,+1.09%,500,"34,493","52,985",8.98,"1,222,793",756.98,1.72,
100,메리츠금융지주,"25,500",0,0.00%,500,"34,173","134,011",8.05,"106,605",5.97,16.06,
101,한국가스공사,"36,750",100,-0.27%,"5,000","33,925","92,313",6.19,"119,017",-17.29,-2.24,
102,씨에스윈드,"79,800",500,-0.62%,500,"33,653","42,171",10.61,"202,725",64.30,8.19,
103,한국항공우주,"33,550",100,-0.30%,"5,000","32,703","97,475",13.52,"146,802",424.68,6.39,
104,현대미포조선,"81,800","1,100",-1.33%,"5,000","32,673","39,942",10.14,"110,264",-99.88,-0.84,
105,한화시스템,"17,200",100,+0.58%,"5,000","32,494","188,919",2.47,"471,426",19.68,9.35,
106,두산퓨얼셀,"49,400",450,+0.92%,100,"32,354","65,494",11.94,"251,883",279.10,4.18,
107,에스원,"83,800","1,100",+1.33%,500,"31,843","37,999",53.84,"61,374",21.31,10.48,
108,롯데쇼핑,"112,500",500,-0.44%,"5,000","31,825","28,289",10.55,"30,715",-4.22,-7.70,
109,키움증권,"120,500","1,500",-1.23%,"5,000","31,571","26,200",23.41,"44,585",3.22,27.63,
110,메리츠화재,"25,650",50,+0.20%,500,"30,940","120,625",10.82,"195,823",6.49,16.91,
111,한화생명,"3,520",50,+1.44%,"5,000","30,572","868,530",7.36,"1,700,777",6.53,1.90,
112,SK케미칼,"260,000",500,-0.19%,"5,000","30,554","11,751",18.18,"170,593",11.80,30.49,
